Order ID,Date,Amount in transaction currency,Customer account,Order Status
ORD-000001,8/13/2026,"4,500.00",B00660,Approved
ORD-000005,8/13/2026,24.00,B01532,Approved
ORD-000006,8/13/2026,"81,450.00",B00987,Approved
ORD-000007,8/13/2026,9.00,B00987,Cancelled
ORD-000009,8/13/2026,"6,075.00",C00416,Approved
ORD-000017,8/14/2026,"81,000.00",B00987,Approved
ORD-000021,8/18/2026,0.00,B00564,Draft
ORD-000023,8/18/2026,0.00,B00564,Draft
ORD-000024,8/18/2026,300.00,B00564,Approved
ORD-000025,8/18/2026,"677,215.00",B01532,Approved
ORD-000026,8/18/2026,0.00,B00564,Draft
ORD-000028,8/18/2026,245.00,B00564,Approved
ORD-000029,8/18/2026,"1,200.00",B00564,Approved
ORD-000030,8/18/2026,"2,480.00",B00564,Approved
ORD-000031,8/18/2026,459.00,B00564,Draft
ORD-000032,8/18/2026,"2,500.00",B00564,Approved
ORD-000033,8/18/2026,200.00,B00564,Approved
ORD-000034,8/18/2026,"8,190.00",B00564,Draft
ORD-000035,8/18/2026,"6,930.00",B00987,Draft
ORD-000036,8/18/2026,"4,590.00",B00564,Approved
ORD-000037,8/18/2026,"205,000.00",B00564,Approved
ORD-000038,8/19/2026,400.00,B00564,Approved
ORD-000039,8/19/2026,90.00,B00564,Cancelled
ORD-000040,8/19/2026,810.00,B00564,Cancelled
ORD-000041,8/19/2026,990.00,B01532,Cancelled
ORD-000043,8/19/2026,"3,690.00",B01532,Cancelled
ORD-000047,8/19/2026,"16,650.00",B01532,Approved
ORD-000048,8/19/2026,"1,050.00",B00564,Approved
ORD-000049,8/19/2026,"4,550.00",B00660,Cancelled
ORD-000053,8/19/2026,"3,600.00",B00987,Approved
ORD-000056,8/19/2026,"82,719.00",B00564,Draft
ORD-000058,8/19/2026,"5,000.00",B00564,Approved
ORD-000061,8/20/2026,"116,550.00",B00987,Approved
ORD-000062,8/20/2026,"10,000.00",B00564,Approved
ORD-000063,8/20/2026,"1,450.00",B00660,Cancelled
ORD-000069,8/21/2026,"36,100.00",C30644,Cancelled
ORD-000070,8/21/2026,"105,090.00",B00564,Approved
ORD-000073,8/21/2026,90.00,B00564,Draft
ORD-000075,8/21/2026,80.00,B00564,Approved
ORD-000078,8/21/2026,180.00,B00564,Approved
ORD-000079,8/24/2026,"5,090.00",B00987,Approved
ORD-04b77baa-1a7d-49,8/10/2026,0.00,B00564,Cancelled
ORD-167bf6e7-908b-4d,8/11/2026,"4,677.00",C00416,Approved
ORD-1f8d3168-6b58-4f,8/11/2026,"8,658.00",C04909,Draft
ORD-1fb7e4fe-6901-40,8/11/2026,0.00,B00564,Draft
ORD-216d1d87-aeaf-48,8/11/2026,100.00,B00564,Approved
ORD-22ea34e2-0123-44,8/11/2026,"90,090.00",B00987,Cancelled
ORD-319d542e-c483-48,8/11/2026,180.00,B00660,Approved
ORD-31e56a42-f49a-48,8/11/2026,5.00,C00401,Approved
ORD-3983cee7-22aa-44,8/11/2026,0.00,B00660,Draft
ORD-3bc989dd-78b6-4e,8/11/2026,5.00,B00987,Approved
ORD-4031c57a-a45c-4d,8/11/2026,10.00,B01545,Draft
ORD-43a2bf4a-350a-44,8/11/2026,45.00,B00660,Approved
ORD-54d479f1-72a2-41,8/11/2026,0.00,B00564,Draft
ORD-67e20392-4684-4e,8/11/2026,0.00,B00564,Draft
ORD-6a911380-9ff7-47,8/10/2026,987.00,B00660,Draft
ORD-7db37c92-2035-43,8/10/2026,0.00,B01532,Cancelled
ORD-7f0d284f-2f85-4a,8/11/2026,32.00,B01545,Approved
ORD-8916d97f-d1c7-46,8/11/2026,"7,200.00",B00660,Approved
ORD-9ab0fbc9-b5e1-47,8/11/2026,4.00,B01545,Approved
ORD-9b780822-cb7b-4e,8/10/2026,"9,765.00",C01455,Draft
ORD-9cf363c5-7415-45,8/12/2026,0.00,B00564,Draft
ORD-aa577269-52d8-49,8/11/2026,9.00,B01532,Draft
ORD-ab0deec4-8fa3-48,8/12/2026,792.00,B00987,Approved
ORD-ab491ed1-62e1-4d,8/11/2026,0.00,B00660,Draft
ORD-adf63d74-4a0c-42,8/11/2026,9.00,B00564,Approved
ORD-b6eb52af-853d-41,8/11/2026,9.00,B01532,Approved
ORD-c6e2f4d8-f351-41,8/11/2026,0.00,B00660,Draft
ORD-c795ff68-ce2a-4c,8/11/2026,0.00,B00564,Approved
ORD-cbd8c980-bd01-48,8/11/2026,4.00,B01545,Approved
ORD-cde19f1e-4039-48,8/11/2026,"704,271.00",C06831,Approved
ORD-d6c441fa-80dd-4c,8/11/2026,90.00,B01532,Approved
ORD-e44938a1-ae7c-42,8/11/2026,"18,900.00",B00564,Approved
ORD-e927ed24-c78c-4c,8/10/2026,1.00,B01532,Draft
ORD-ed34942f-19f7-41,8/11/2026,27.00,C00416,Approved
ORD-EXTERNAL01,8/14/2026,0.00,B00564,Draft
ORD-EXTERNAL02,8/14/2026,0.00,B00564,Draft
ORD-f11f1253-9689-43,8/11/2026,9.00,B00564,Draft
ORD-f1f10a1a-76a0-44,8/11/2026,0.00,B00564,Draft
ORD-Test,8/11/2026,"2,784.00",C00548,Approved
